question,optionA,optionB,optionC,optionD,correct,explanation
"Ai không vác điều gì của mình mà theo Thầy, thì không xứng với Thầy? (Mt 10,38)",Thập giá.,Vác tội lỗi.,Vác thập giá của người khác.,Vác gánh nặng cho nhau.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai giữ lấy mạng sống mình, thì sẽ mất; còn ai liều mất mạng sống mình vì Thầy, thì thế nào? (Mt 10,39)",Sẽ tìm thấy được.,Sẽ được Thiên Chúa ban thưởng Nước Trời.,Sẽ được sự sống đời đời.,"Sẽ không phải chết, nhưng được sống muôn đời.",A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai cho một trong những kẻ bé nhỏ này uống, dù chỉ một chén nước lã thôi, vì kẻ ấy là môn đệ của Thầy, thì Thầy bảo thật anh em, người đó sẽ không mất điều gì? (Mt 10,42)",Không mất sự sống đời này.,Không mất hạnh phúc Nước Trời.,Không mất chính mình.,Không mất phần thưởng đâu.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai đang ngồi tù, nghe biết những việc Đức Kitô làm, liền sai môn đệ đến hỏi Người rằng: “Thưa Thầy, Thầy có thật là Đấng phải đến không, hay là chúng tôi còn phải đợi ai khác?”? (Mt 11,2- 3)",Ông Gioan. (Tẩy Giả),Ông Tôma.,Ông Philipphe.,Ông Phê-rô.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Người mù xem thấy, kẻ què được đi, người cùi được sạch, kẻ điếc được nghe, người chết sống lại, kẻ nghèo được gì? (Mt 11,5)",Nhận lương thực hàng ngày.,Được Thiên Chúa yêu thương.,Nhận lương thực hàng ngày.,Được Thiên Chúa yêu thương.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai là người Kinh Thánh đã nói tới khi chép rằng: Này Ta sai sứ giả của Ta đi trước mặt Con, người sẽ dọn đường cho Con đến? (Mt 11,7.10)",Ngôn sứ Isaia,Ngôn sứ Giô-na,Ông Gioan.,Ông Phao-lô,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai đã nói ông Gioan chính là Êlia, người phải đến? (Mt 11,4-14)",Đức Giêsu.,Chúa Cha,"Chúa Thánh Thần,",Ông Gioan Tẩy giả.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông Gioan đến, không ăn không uống, thì thiên hạ bảo ông là gì?(Mt 11,18)",Ông ta là một kẻ khùng.,Ông ta bị quỷ ám.,Ông ấy là một vị ngôn sứ.,Ông ấy là người dọn đường.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Đức Giêsu quở trách các thành nào đã chứng kiến phần lớn các phép lạ Người làm mà không sám hối? (Mt 11,20-24)",Thành Khoradin,Thành Bếtxaiđa,Thành Caphácnaum,"Cả a,b,c đều đúng.",D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Đến ngày phán xét, thành nào còn được xử khoan hồng hơn các thành Khoradin và thành Bếtxaiđa? (Mt 11,22)",Thành Nazareth,Thành Caphanaum,Thành Tia,"Thành Xi-đôn. e. Chỉ a, b là đúng f. Chỉ c, d là đúng.",D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Đến ngày phán xét, đất nào còn được xử khoan hồng hơn Caphácnaum? (Mt 11,24)",Đất Xơđôm.,Đất Gô-mô-ra,Đất Dơ-vu-lun,Đất Náp-ta-li,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Lạy Cha là Chúa Tể trời đất, con xin ngợi khen Cha, vì Cha đã giấu không cho bậc khôn ngoan thông thái biết những điều này, nhưng lại mặc khải cho những người bé mọn. Vâng, lạy Cha, ... ... ... .” (Mt 11,25-26)",Vì đó là điều đẹp ý Cha.,Vì đó là kế hoạch Cha dành cho họ.,Vì đó là mệnh lệnh Cha đã truyền.,Vì đó là điều con phải làm.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Tất cả những ai đang vất vả mang gánh nặng nề, hãy đến cùng tôi, tôi sẽ ... ... ... .” (Mt 11,28)",Cho vào hưởng Nước Trời.,Cho nghỉ ngơi bồi dưỡng.,Tôi sẽ thêm sức cho.,Tôi sẽ mang gánh nặng cho.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Anh em hãy mang lấy ách của tôi, và hãy học với tôi, vì tôi ... ... ... .” (Mt 11,29)",Có lòng hiền hậu và khiêm nhường.,Có trái tim mục tử tốt lành.,Yêu thương hết thảy mọi người.,Sẵn sàng chết cho người tội lỗi.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Vào ngày nào, Đức Giêsu đi băng qua một cánh đồng lúa; các môn đệ thấy đói và bắt đầu bứt lúa ăn? (Mt 12,1)",Vào ngày Lễ Vượt Qua.,Vào ngày Chúa Nhật.,Vào ngày sabát.,Vào ngày cuối tuần.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những người nào nói với Đức Giêsu: “Ông coi, các môn đệ ông làm điều không được phép làm ngày sa-bát!”? (Mt 12,2)",Người Do-thái,Người Samari,Người nhà Đức Giêsu.,Người Pharisêu.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai cùng thuộc hạ đói bụng, vào nhà Thiên Chúa, ăn bánh tiến. Thứ bánh này, họ không được phép ăn, chỉ có tư tế mới được ăn mà thôi? (Mt 12,3-4)",Ông Đavít.,Ông Abraham,Ông Nô-ê,Ông Mô-sê,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi chứng kiến việc Chúa Giêsu chữa người bị bại tay trong ngày sa-bát, ai bàn bạc để tìm cách giết Người? (Mt 12,9-14)",Người Do Thái,Các Thượng Tế,Người Pharisêu.,Philato.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Đây là người Tôi Trung Ta đã tuyển chọn, đây là người Ta yêu dấu: Ta hài lòng về Người. Ta cho Thần Khí Ta ngự trên Người. Người sẽ loan báo công lý trước muôn dân.” Đây là lời ngôn sứ nào? (Mt 12,18)",Ngôn sứ Giô-na,Ngôn sứ Isaia.,Ngôn sứ Elia,Ngôn sứ Giêremia,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi chứng kiến việc Chúa Giêsu chữa một người bị quỷ ám vừa mù lại vừa câm, khiến anh nói và thấy được. Tất cả dân chúng đều sửng sốt và nói gì? (Mt 12,22-23)",Ông này hẳn là ngôn sứ Elia.,Ông này chẳng phải là Đấng Cứu Thế hay sao?,Ông này chẳng phải là Con vua Đavít sao?,Hẳn ông này là Con Thiên Chúa.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Ông này trừ được quỷ chỉ là nhờ dựa thế quỷ vương Bêendêbun.” Câu này là của ai? (Mt 12,24)",Những người Pharisêu.,Những người bị quỷ ám.,Người Do-thái.,Những người Sa-đốc.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai nói phạm đến Con Người thì được tha; nhưng ai nói phạm đến ai sẽ chẳng được tha, cả đời này lẫn đời sau? (Mt 12,32)",Nói phạm đến Thiên Chúa Cha.,Nói phạm đến Chúa Giêsu.,Nói phạm đến Thánh Thần.,Nói phạm đến các thánh thiên thần.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Cây mà tốt thì quả cũng tốt; cây mà sâu thì quả cũng sâu, vì thế nào? (Mt 12,33)",Xem cành thì biết quả.,Xem quả thì biết cây.,Xem cây ra lộc thì biết thời tiết.,Xem hạt thì biết giống.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những ai đến với Chúa Giêsu và nói : “Thưa Thầy, chúng tôi muốn thấy Thầy làm một dấu lạ.”? (Mt 12,38)",Mấy kinh sư và mấy người Pharisêu.,Mấy người ngoại đạo.,Các môn đệ ông Gioan Tẩy Giả.,Các Thượng tế và lính canh Đền Thờ.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ngôn sứ nào đã ở trong bụng kình ngư ba ngày ba đêm? (Mt 12,40)",Ngôn sứ Elia,Ngôn sứ Isaia,Ngôn sứ Giôna.,Ngôn sứ Edekiel,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong cuộc phán xét, dân thành nào sẽ trỗi dậy cùng với thế hệ này và sẽ kết án họ, vì xưa dân ấy đã sám hối khi nghe ông Giôna rao giảng? (Mt 12,41)",Dân Thành Xi-đôn,Dân Thành Gô-mô-ra,Dân thành Ninivê.,Dân thành Caphanaum.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu: “Đây là mẹ tôi, đây là anh em tôi. Vì phàm ai thi hành ý muốn của Cha tôi, Đấng ngự trên trời, ... ... ... .”? (Mt 12,49-50)","Người ấy là anh chị em tôi, là mẹ tôi.",Người ấy là môn đệ tôi.,Người ấy là bạn hữu của Thầy.,Người ấy là anh em tôi và là con Thiên Chúa.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu dùng dụ ngôn mà nói với dân chúng nhiều điều tại đâu? (Mt 13,1-3)",Ven Biển Hồ.,Miền Thập Tỉnh,Tại Giuse và Giêrusalem.,Trên các núi cao.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Người gieo giống đi gieo, có những hạt rơi xuống vệ đường, thì thế nào? (Mt 13,4)",Người ta sẽ thu lượm lại.,Chim chóc đến ăn mất.,Người ta chà đạp lên.,Hạt sẽ tự thối đi.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những hạt rơi ở đâu, chỗ đất không có nhiều; nó mọc ngay, vì đất không sâu; nhưng khi nắng lên, nó liền bị cháy, và vì thiếu rễ nên bị chết khô? (Mt 13,5-6)",Trên nơi sỏi đá.,Hạt rơi ở bụi gai.,Hạt rơi xuống biển.,Hạt rơi chỗ bùn lầy.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những hạt rơi vào đâu thì bị chết nghẹt? (Mt 13,7)",Rơi vào vườn nho.,Rơi vào bụi gai.,Rơi vào đất tốt.,Rơi ở vệ đường.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những hạt lại rơi nhằm đất tốt, nên sinh hoa kết quả thế nào? (Mt 13,8)","Hạt được gấp trăm, hạt được sáu chục, hạt được ba chục.",Hạt nào cũng trổ sinh gấp trăm.,"Hạt được gấp đôi, hạt được gấp mười, hạt được gấp trăm.",Sẽ được mùa màng bội thu.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hễ ai nghe lời rao giảng Nước Trời mà không hiểu, thì quỷ dữ đến cướp đi điều đã gieo trong lòng người ấy: đó là kẻ đã được gieo ở đâu? (Mt 13,19)",Được gieo nơi đất tốt.,Được gieo ở vườn nho.,Được gieo bên vệ đường.,Được gieo ở ngoài đồng.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Còn kẻ được gieo ở đâu, là kẻ nghe Lời và liền vui vẻ đón nhận. Nhưng nó không đâm rễ mà là kẻ nhất thời: khi gặp gian nan hay bị ngược đãi vì Lời, nó vấp ngã ngay? (Mt 13,20-21)",Trên nơi sỏi đá.,Bên vệ đường.,Trên sườn núi.,Giữa cánh đồng.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Kẻ được gieo vào đâu, là kẻ nghe Lời, nhưng nỗi lo lắng sự đời, và bả vinh hoa phú quý bóp nghẹt, khiến Lời không sinh hoa kết quả gì? (Mt 13,22)",Được gieo vào bụi gai.,Được gieo vào đất tốt.,Được gieo vào nơi sỏi đá.,Được gieo nơi vệ đường.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Kẻ được gieo trên đất tốt, là kẻ thế nào thì tất nhiên sinh hoa kết quả và làm ra, kẻ được gấp trăm, kẻ được sáu chục, kẻ được ba chục? (Mt 13,23)",Người lắng nghe và thực hành.,Kẻ nghe Lời và hiểu.,Kẻ vâng phục thánh ý Thiên Chúa.,Người lắng nghe và đón nhận Lời Thiên Chúa.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Điều gì ví như chuyện người kia gieo giống tốt trong ruộng mình. Khi mọi người đang ngủ, thì kẻ thù của ông đến gieo thêm cỏ lùng vào giữa lúa, rồi đi mất? (Mt 13,24-25)",Nước Trời.,Sự sống đời đời.,Lời Chúa.,Ơn cứu độ.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Đến ngày mùa, cỏ lùng được gom lại, bó thành bó để làm gì? (Mt 13,30)",Để đốt đi.,Để thiêu huỷ,Để làm củi,Để làm phân bón.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Nước Trời cũng giống như chuyện gì người nọ lấy gieo trong ruộng mình. Tuy nó là loại nhỏ nhất trong tất cả các hạt giống, nhưng khi lớn lên, thì lại là thứ lớn nhất; nó trở thành cây, đến nỗi chim trời tới làm tổ trên cành được? (Mt 13,31)",Chuyện cây nho,Chuyện hoa huệ ngoài đồng.,Chuyện hạt cải.,Chuyện hạt lúa mỳ.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong dụ ngôn Cỏ Lùng, kẻ gieo hạt giống tốt là ai? (Mt 13,37)",Con Người.,Các Thiên Thần.,Đấng Messia.,Chúa Giêsu.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong dụ ngôn Cỏ Lùng, ruộng là gì? (Mt 13,38)",Con cái thế gian.,Thế gian.,Dân ngoại.,Những người cần đến ơn cứu độ.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong dụ ngôn Cỏ Lùng, hạt giống tốt là ai? (Mt 13,38)",Con cái Thiên Chúa,Các môn đệ của Chúa Giêsu.,Con cái Nước Trời.,,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong dụ ngôn Cỏ Lùng, cỏ lùng là ai? (Mt 13,38)",Con cái Ác Thần.,Ma quỉ.,Những người tội lỗi.,Dân ngoại. e. Những Kinh sư.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong dụ ngôn Cỏ Lùng, kẻ thù gieo cỏ lùng là ai? (Mt 13,39)",Ma quỷ.,Các Kinh sư,Các vua chúa trần gian.,Đế quốc Rôma.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong dụ ngôn Cỏ Lùng, mùa gặt là gì? (Mt 13,39)",Ngày phán xét.,Ngày Chúa trở lại.,Ngày tận thế.,Ngày Khai mở Năm thánh.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong dụ ngôn Cỏ Lùng, thợ gặt là ai? (Mt 13,39)",Chúa Thánh Thần.,Là Chúa Giêsu,Các thiên thần.,Mười hai Tông đồ.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Vào ngày tận thế, Ai sẽ sai các thiên thần của Người tập trung mọi kẻ làm gương mù gương xấu và mọi kẻ làm điều gian ác, mà tống ra khỏi Nước của Người? (Mt 13,40-41)",Con Người.,Đấng Sáng tạo.,Các ngôn sứ.,Chúa Giêsu.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Vào ngày tận thế, Con Người sẽ sai các thiên thần của Người tập trung ai, mà tống ra khỏi Nước của Người? (Mt 13,40-41)",Mọi kẻ gây cớ vấp phạm cho người khác.,Những kẻ cố chấp không tin vào Lời Đức Giêsu rao giảng.,Mọi kẻ làm gương mù gương xấu và mọi kẻ làm điều gian ác.,Những người đã giết Chúa.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Vào ngày tận thế, mọi kẻ làm gương mù gương xấu và mọi kẻ làm điều gian ác thì thế nào? (Mt 13,41-42)",Chúng sẽ phải khóc lóc nghiến răng.,Họ sẽ phải bẽ mặt hổ ngươi.,Chúng sẽ bị xét xử nghiêm khắc.,Họ sẽ bị luận phạt đời đời.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Vào ngày tận thế, người công chính sẽ trở nên thế nào trong Nước của Cha họ? (Mt 13,43)",Chói lọi như mặt trời.,Giống như các vì sao.,Sáng láng như các Thiên Thần.,Trở nên giống Thiên Chúa.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Nước Trời giống như chuyện kho báu chôn giấu ở đâu? (Mt 13,44)",Trong vườn nho.,Trong Đền Thờ.,Dưới đáy biển.,Trong ruộng.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Nước Trời lại cũng giống như chuyện ai đi tìm ngọc đẹp? (Mt 13,45)",Một lái buôn,Một thương gia.,Người môn đệ.,Một người ngoại.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong dụ ngôn Chiếc Lưới, đến ngày nào, các thiên thần sẽ xuất hiện và tách biệt kẻ xấu ra khỏi hàng ngũ người công chính, rồi quăng chúng vào lò lửa? (Mt 13,49-50)",Ngày tận thế.,Ngày Cứu Độ.,Ngày Chúa đến.,Ngày cánh chung.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Tại quê nhà Nadarét, người ta nói Chúa Giêsu là con của ai? (Mt 13,55)",Là con của một người phụ nữ.,Con bác thợ và con bà Maria.,Con của Thánh Giuse và  bà Maria.,Là Con của Thiên Chúa.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Người ta nói những ai là anh em của Chúa Giêsu? (Mt 13,55)","Các ông Giacôbê, Giôxếp, Simôn và Giuđa.","Các ông Giuse, Giacop, Simon và Gia-cô-bê.","Gia-cô-bê, Simon, Giuse và Levi.","Giu-đa, Gia-cô-bê, Giô-xếp và mấy người phụ nữ.",A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai nghe danh tiếng Chúa Giêsu, thì nói với những kẻ hầu cận rằng: “Đó chính là ông Gioan Tẩy Giả; ông đã từ cõi chết trỗi dậy, nên mới có quyền năng làm phép lạ.”? (Mt 14,1)",Tiểu vương Hêrôđê.,Vua Hê-rô-đê Cả.,Vua Antipa,Vua Pharaoh.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Vua Hêrôđê đã bắt trói ông Gioan và tống ngục vì ai? (Mt 14,3)","Bà Sa-lô-mê,","Bà Maria Magdala,",Bà Mattha.,Bà Hêrôđia.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Vua Hêrôđê đã bắt trói ông Gioan và tống ngục vì câu nói gì? (Mt 14,4)",“Ngài không được phép lấy bà ấy.”,“Ngài không được đến gần bà ấy.”,“Ngài không được giết bà ấy.”,“Ngài không được chém đầu tôi.”,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai đã ra lệnh chém đầu ông Gioan Tẩy giả? (Mt 14,10)",Vua Pharaoh.,Vua Hêrôđê.,"Philato,",Hoàng đế Augusto.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong lần hoá bánh ra nhiều lần thứ nhất, Chúa Giêsu dùng bao nhiêu cái bánh và bao nhiêu con cá? (Mt 14,17)",Năm cái bánh và hai con cá.,Năm cái bánh và năm con cá.,Hai cái bánh và năm con cá,Hai cái bánh và hai con cá.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong lần hoá bánh ra nhiều lần thứ nhất, sau khi ăn uống no nê, người ta thu lại được bao nhiêu giỏ đầy? (Mt 14,20)",Ba giỏi đầy,Bảy giỏi đầy,Mười giỏi đầy.,Mười hai giỏ đầy.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Sau khi cho dân chúng ăn uống no nê và giải tán họ, Chúa Giêsu làm gì? (Mt 14,23)",Chúa Giêsu trở về quê hương là Narazeth.,Chúa Giêsu lên núi một mình mà cầu nguyện.,Chúa Giêsu lên thuyền cùng với các môn đệ.,,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Vào khoảng canh mấy, Chúa Giêsu đi trên mặt biển mà đến với các môn đệ? (Mt 14,24)",Canh hai,Canh ba,Canh tư.,Canh năm.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai xin với Chúa Giêsu đi trên mặt nước đến với Ngài? (Mt 14,28)",Ông Gioan,Ông Phêrô.,Ông Anre,Ông Gia-cô-bê.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Sau khi giải tán dân chúng, qua biển rồi, Chúa Giêsu và các môn đệ lên đất liền, vào đâu? (Mt 14,34)",Vào Ghennêxarét.,Vũng thập Tỉnh.,Miền Galilee,Thành Samari.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những ai đến gặp Chúa Giêsu và nói rằng: “Sao môn đệ ông vi phạm truyền thống của tiền nhân, không chịu rửa tay khi dùng bữa?”? (Mt 15,1-2)",Mấy người Pharisêu và mấy kinh sư từ Giêrusalem.,Những người bị quỉ ám.,Các môn đệ ông Gioan Tẩy Giả.,Nhóm những người Hy-lạp.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu nói các ông dựa vào truyền thống của các ông mà vi phạm điều gì? (Mt 15,3)",Giới Luật của loài người.,Điều răn của Thiên Chúa.,Điều Răn của Mô-sê.,Luật của Thần Khí.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ngươi hãy thờ cha kính mẹ; kẻ nào nguyền rủa cha mẹ, thì phải bị gì? (Mt 15,5)",Phải bị loại trừ.,Phải bị xử tử.,Phải bị ném đá.,Phải đuổi khỏi thành.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Dân này tôn kính Ta bằng môi bằng miệng, còn lòng chúng thì lại xa Ta. Chúng có thờ phượng Ta thì cũng vô ích, vì giáo lý chúng giảng dạy chỉ là giới luật phàm nhân”. Đây là lời ngôn sứ nào? (Mt 15,8-9)",Ngôn sứ Isaia.,Ngôn sứ Khác-gai.,Ngôn sứ Elisha.,Ngôn sứ Giêremia.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Mù mà lại dắt mù, cả hai sẽ thế nào? (Mt 15,14)",Sẽ bị vấp ngã.,Sẽ lăn cù xuống hố.,Sẽ lao xuống biển.,Sẽ không tìm được lối thoát.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những cái gì từ miệng xuất ra, là phát xuất tự lòng, chính những cái ấy mới làm cho con người ra ô uế. Đó là những gì? (Mt 15,18-19)","Những ý định gian tà, ngoại tình, tà dâm.",Tội giết người,"Tội trộm cắp, làm chứng gian và vu khống.",Tất cả những ý trên.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu lui về đâu thì gặp người đàn bà Canaan xin chữa cho con gái mình? (Mt 15,21)",Khi Chúa Giêsu lui về miền Tia và Xiđôn.,"Khi Chúa Giêsu đến thành Giêrusalem,",Khi Chúa đến gần thành Giê-ri-khô.,Khi Chúa Giêsu đi đến Miền Thập Tỉnh.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Người đàn bà Canaan kêu xin Chúa Giêsu thế nào? (Mt 15,22)","Lạy Đấng Ki-tô, Con Chúa trời hằng sống, xin rủ lòng thương tôi.","Lạy ông Giêsu, xin rủ thương tôi.","Lạy ngài là con vua Đa-vít, xin dủ lòng thương tôi!","Đứa con gái tôi bị quỷ ám khổ sở lắm! e. Chỉ a, d là đúng. f. Chỉ c và d là đúng. g. Tất cả đều đúng.",D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Lời Chúa Giêsu trả lời người đàn bà Canaan thế nào? (Mt 15,28)","Này bà, lòng tin của bà mạnh thật. Bà muốn sao thì sẽ được vậy.","Này bà, lòng tin của bà mạnh thật. Bà cứ về đi, con gái bà đã khỏi.","Này bà, lòng tin của bà mạnh thật. Bà xin gì cũng sẽ được.","Này Bà, con gái mà đã khỏi hẳn bệnh.",A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong lần hoá bánh ra nhiều lần thứ hai, Chúa Giêsu dùng bao nhiêu chiếc bánh? (Mt 15,34)",Ba chiếc bánh.,Bảy chiếc bánh.,Mười hai chiếc bánh,Năm chiếc bánh,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong lần hoá bánh ra nhiều lần thứ hai, sau khi ăn uống no nê, người ta thu lại được bao nhiêu thúng đầy? (Mt 15,37)",Năm thúng đầy.,Bảy thúng đầy.,Mười thúng đầy.,Mười hai thúng đầy.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong lần hoá bánh ra nhiều lần thứ hai, sau khi giải tán đám đông, Chúa Giêsu lên thuyền, sang đâu? (Mt 15,39)",Miền Magađan.,Miền thập tỉnh.,Miền Tia và Xi-đôn.,Miền Ghennêrazét.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những ai đến gần Chúa Giêsu và xin Ngài một dấu lạ từ trời? (Mt 16,1)",Những người thuộc nhóm Kinh sư.,Các thượng tế và Kinh sư.,Những người thuộc phái Pharisêu và phái Xađốc.,Những người gốc Hy-lạp.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu gọi những người đòi dấu lạ này là gì? (Mt 16,4)",Thế hệ gian ác và ngoại tình.,"Thế hệ gian tà, độc ác.",Những người không có đức tin.,Những người đáng bị nguyền rủa.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Dấu lạ Chúa Giêsu nói là dấu lạ gì? (Mt 16,4)",Dấu lạ ông Elisha.,Dấu lạ ông Giôna.,Dấu lạ ngôn sứ Elia.,Dấu lạ của Ông Mô-sê.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Tại đâu, ông Simôn Phêrô thưa: “Thầy là Đấng Kitô, Con Thiên Chúa hằng sống.”? (Mt 16,13.16)",Tại Xêdarê Philípphê.,Tại bờ sông Babylon.,Bên kia sông Gio-đan.,Tại xứ Samari.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi Chúa Giêsu hỏi các môn đệ rằng: “Người ta nói Con Người là ai?” Các môn đệ trả lời thế nào? (Mt 16,13-14)","Ông Gio-an Tẩy giả,",Ông Êlia.,Ông Giêrêmia.,Tất cả đều đúng.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Thầy là Đấng Kitô, Con Thiên Chúa hằng sống.” Câu này là của ai? (Mt 16,16)",Ông Simôn Phêrô.,Ông Gio-an Tẩy giả.,"Ông Gioan, người môn đệ Chúa yêu.","Ông Tê-pha-nô, người tử đạo tiên khởi.",A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Tại Xêdarê Philípphê, Chúa Giêsu cấm ngặt các môn đệ không được nói cho ai biết Người là ai? (Mt 16,20)",Người là Đấng Cứu Thế.,Người là Đấng Kitô.,Người là Con Thiên Chúa.,Người là Vua dân Do-thái.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu trao quyền cho ai chìa khóa Nước Trời? (Mt 16,19)",Ông Simôn Phêrô.,"Ông Phao-lô, tông đồ dân ngoại.","Ông Gioan, người môn đệ Chúa yêu.",Ông Gia-cô-bê.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu phải đi đâu, chịu nhiều đau khổ do các kỳ mục, các thượng tế và kinh sư gây ra, rồi bị giết chết, và ngày thứ ba sẽ sống lại? (Mt 16,22)",Bê-lem.,Nazareth.,Giêrusalem.,Giu-đê e. Galile,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
